PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Josh Giddey;SG;2022;19;54;17;37;0,315;7,923809524;18,8952381;0,63847619;1,523809524;5,942857143;0,400761905;1,523809524;2,285714286;1,080380952;2,742857143;9,142857143;11,88571429;9,752380952;4,876190476;1,371428571;0,60952381;1,371428571;2,438095238;2,59047619;19,04761905;-8,380952381;24,38095238;6,095238095;166,7047619;0,266666667;0,390095238;0,28647619;0,182857143;16,45714286;14,47619048;10,20952381;47,23809524;0,153904762
Talen Horton-Tucker;SG;2022;21;60;23;37;0,383;7,047619048;17,14285714;0,792380952;1,523809524;5,714285714;0,512380952;3,238095238;4;1,523809524;1,142857143;4,952380952;6,095238095;5,142857143;2,666666667;1,904761905;0,952380952;0,952380952;4,761904762;3,047619048;19,04761905;-2,857142857;1,904761905;0;209,7142857;0,19047619;0,276190476;0,491428571;0,344761905;16,38095238;12;13,14285714;49,14285714;0,144761905
Amir Coffey;SG;2022;24;69;33;36;0,478;6,555066079;14,37885463;0,957885463;2,960352423;7,823788546;0,799295154;3,171806167;3,594713656;1,824845815;0,845814978;5,286343612;6,13215859;3,806167401;1,480176211;1,268722467;0,422907489;0,845814978;2,748898678;2,960352423;19,030837;-1,480176211;2,114537445;0;234,7136564;0,215682819;0,315066079;0,353127753;0,213568282;15,85903084;16,07048458;14,59030837;50,96035242;0,133215859
Dewayne Dedmon;C;2022;32;67;43;24;0,642;7,245283019;12,98113208;1,708679245;0,905660377;2,113207547;1,219622642;3,320754717;4,528301887;2,264150943;4,830188679;12,67924528;17,50943396;2,113207547;3,018867925;1,20754717;1,811320755;0,905660377;7,849056604;4,226415094;19,01886792;2,113207547;9,056603774;0;320;0,757735849;1,144150943;0,486037736;1,606037736;18,11320755;13,58490566;11,16981132;41,35849057;0,205283019
Onyeka Okongwu;C;2022;21;48;26;22;0,542;7,652173913;10,89855072;1,6;0;0;0;3,942028986;5,333333333;1,685797101;5,565217391;8,115942029;13,68115942;2,550724638;2,086956522;1,391304348;3,014492754;0,927536232;7,188405797;4,405797101;19,01449275;5,333333333;2,31884058;0;252,9855072;0,377971014;0,570434783;0,442898551;1,495652174;14,37681159;13,68115942;9,971014493;46,37681159;0,157681159
Jose Alvarado;SG;2022;24;54;25;29;0,463;7,480519481;16,83116883;1,39012987;1,87012987;6,233766234;0,907012987;2,181818182;3,116883117;2,116363636;1,558441558;4,363636364;5,922077922;8,727272727;2,181818182;4,051948052;0,311688312;1,246753247;4,363636364;3,116883117;19,01298701;8,103896104;3,116883117;0;326,6493506;0,292987013;0,427012987;1,228051948;0,280519481;15,27272727;11,53246753;9,974025974;43,01298701;0,224415584
Kyle Lowry;PG;2022;36;63;41;22;0,651;6,230088496;14,15929204;0,62300885;3,256637168;8,637168142;0,53380531;3,256637168;3,96460177;1,204955752;0,707964602;5,663716814;6,371681416;10,61946903;3,82300885;1,557522124;0,424778761;0,424778761;3,96460177;5,097345133;18,97345133;5,663716814;22,65486726;2,831858407;150,9380531;0,164247788;0,232212389;0,288849558;0,181238938;16,99115044;11,32743363;12,31858407;40,3539823;0,19539823
JaMychal Green;PF;2022;31;67;36;31;0,537;7,111111111;14,51851852;1,44;1,481481481;5,62962963;0,788148148;3,555555556;4,148148148;2,580740741;3,555555556;8,888888889;12,44444444;2,666666667;2,666666667;1,777777778;1,185185185;1,481481481;7,111111111;3,555555556;18,96296296;-3,851851852;2,962962963;0;326,8148148;0,554074074;0,794074074;0,72;0,885925926;17,77777778;11,25925926;12,74074074;48;0,142222222
Daniel Theis;C;2022;30;47;20;27;0,426;7,384615385;14,30769231;1,197692308;1,615384615;5,307692308;0,710769231;2,307692308;3,461538462;1,571538462;3;8,307692308;11,30769231;2,076923077;2,307692308;0,923076923;1,615384615;0,692307692;5,538461538;3,923076923;18,92307692;-4,384615385;6,923076923;0;250,1538462;0,366923077;0,535384615;0,327692308;0,680769231;21;13,15384615;13,38461538;45,23076923;0,173076923
Patty Mills;PG;2022;33;81;44;37;0,543;6,620689655;16,22068966;0,675310345;4,634482759;11,5862069;0,662068966;0,993103448;1,15862069;1,347310345;0,331034483;2,813793103;3,144827586;3,806896552;1,489655172;0,993103448;0,331034483;0,496551724;2,317241379;2,151724138;18,86896552;2,317241379;0;0;183,2275862;0,091034483;0,139034483;0,251586207;0,105931034;17,04827586;13,90344828;14,4;48,33103448;0,135724138
