PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Amir Coffey;SG;2022;24;69;33;36;0.478;22.7;3.1;6.8;0.453;1.4;3.7;0.378;1.5;1.7;0.863;0.4;2.5;2.9;1.8;0.7;0.6;0.2;0.4;1.3;1.4;9;-0.7;1;0;111;0.102;0.149;0.167;0.101;7.5;7.6;6.9;24.1;0.063
Andre Drummond;C;2022;28;73;42;31;0.575;19.7;3.4;5.9;0.57;0;0;0;1.2;2.2;0.524;3.1;6.2;9.3;1.8;1.6;1.1;0.9;0.6;2.6;2.1;7.9;0.5;18;0;109.8;0.305;0.46;0.316;0.405;6.9;5.8;6;19;0.06
Andre Iguodala;SF;2022;38;31;20;11;0.645;19.4;1.5;3.9;0.38;0.5;2.4;0.23;0.5;0.6;0.75;0.7;2.5;3.2;3.7;0.9;0.9;0.7;0.1;1.1;1.2;4;3.7;0;0;97;0.117;0.174;0.216;0.314;5.6;5.5;4.5;16.3;0.133
Andrew Wiggins;PF;2022;27;73;47;26;0.644;31.9;6.5;14;0.466;2.2;5.5;0.393;2;3.2;0.634;1.2;3.3;4.5;2.2;1.5;1;0.7;0.6;2.2;2.9;17.2;3.6;1;0;105.4;0.095;0.137;0.181;0.225;10.8;8.4;8.3;29.5;0.14
Anfernee Simons;SG;2022;22;57;25;32;0.439;29.5;6.2;14;0.443;3.1;7.8;0.405;1.8;2;0.888;0.5;2.2;2.6;3.9;2;0.5;0.1;0.6;1.9;1.7;17.3;-1.5;2;0;112.9;0.075;0.108;0.109;0.042;9.4;7.6;8.3;28.8;0.063
Anthony Davis;PF;2022;29;40;17;23;0.425;35.1;9.3;17.4;0.532;0.3;1.8;0.186;4.4;6.1;0.713;2.7;7.2;9.9;3.1;2.1;1.2;2.3;0.5;2.4;5.1;23.2;-2.3;19;0;108.9;0.196;0.283;0.201;0.511;13.4;9;11.6;36.6;0.118
Anthony Edwards;SG;2022;20;72;39;33;0.542;34.2;7.6;17.3;0.441;3;8.4;0.357;3.1;3.9;0.786;0.9;3.9;4.8;3.8;2.6;1.5;0.6;0.6;2.3;2.8;21.3;2.6;4;0;110.6;0.113;0.17;0.232;0.159;11.4;9.9;10.4;33.4;0.097
Anthony Gill;PF;2022;29;44;15;29;0.341;10.5;1.4;2.5;0.569;0.3;0.6;0.538;1;1.2;0.808;0.8;1.2;1.9;0.6;0.4;0.1;0.3;0.3;1.3;1;4.1;1.4;0;0;108.9;0.112;0.17;0.065;0.268;3.1;2.7;2.5;9.5;0.036
Armoni Brooks;SG;2022;23;54;20;34;0.37;15.6;1.8;5.4;0.339;1.4;4.6;0.297;0.3;0.4;0.857;0.4;1.5;1.9;1.1;0.5;0.5;0.2;0.1;1.4;0.4;5.3;-1.5;0;0;112.1;0.097;0.149;0.19;0.129;5.6;4.4;4.5;15.7;0.039
Austin Reaves;PG;2022;23;61;28;33;0.459;23.2;2.4;5.2;0.459;0.9;2.7;0.317;1.6;1.9;0.839;0.7;2.4;3.2;1.8;0.7;0.5;0.3;0.2;1.4;2.2;7.3;0.9;1;1;109;0.099;0.147;0.13;0.12;7.1;6.2;7.1;24.1;0.078
